Author,context_left,context_right
"Yang
et al.","ween
documents, beyond the ability learned in the vanilla
next sentence prediction objective in BERT.
Viewing the pretraining corpus as a graph
of documents, LinkBERT is also motivated as
self-supervised learning on the graph, where DRP
and MLM correspond to link prediction and node
feature prediction in graph machine learning (","Yang
et al., 2015; Hu et al., 2020). Our modeling approach
thus provides a natural fusion of language-based
and graph-based self-supervised learning.
We train LinkBERT in two domains: the general
domain, using Wikipedia articles with hyperlinks
(§4), and the biomedical domain, using PubMed ar-
ticles with citation links (§6). We"
 Hu et al.,"e vanilla
next sentence prediction objective in BERT.
Viewing the pretraining corpus as a graph
of documents, LinkBERT is also motivated as
self-supervised learning on the graph, where DRP
and MLM correspond to link prediction and node
feature prediction in graph machine learning (Yang
et al., 2015;"," Hu et al., 2020). Our modeling approach
thus provides a natural fusion of language-based
and graph-based self-supervised learning.
We train LinkBERT in two domains: the general
domain, using Wikipedia articles with hyperlinks
(§4), and the biomedical domain, using PubMed ar-
ticles with citation li"
Gu et al.," in both domains.LinkBERT consistently improves on baseline LMs
across domains and tasks. For the general domain,
LinkBERT outperforms BERT on MRQA bench-
mark (+4% absolute in F1-score) as well as GLUE
benchmark. For the biomedical domain, LinkBERT
exceeds PubmedBERT (","Gu et al., 2020) and sets
new states of the art on BLURB biomedical NLP
benchmark (+3% absolute in BLURB score) and
MedQA-USMLE reasoning task (+7% absolute in
accuracy). Overall, LinkBERT attains notably large
gains for multi-hop reasoning, multi-document
understanding"
Lewis et al.,"soning task (+7% absolute in
accuracy). Overall, LinkBERT attains notably large
gains for multi-hop reasoning, multi-document
understanding, and few-shot question answering,
suggesting that LinkBERT internalizes signiﬁcantly
more knowledge than existing LMs by pretraining
with document link information.
2 Related work
Retrieval-augmented LMs. Several works
(","Lewis et al., 2020b; Karpukhin et al., 2020; Oguz
et al., 2020; Xie et al., 2022) introduce a retrieval
module for LMs, where given an anchor text
(e.g. question), retrieved text is added to the same
LM context to improve model inference (e.g. an-
swer prediction). These works show the promise of
placing related documents in the same LM context
at inference "
 Karpukhin et al.,"u et al., 2020) and sets
new states of the art on BLURB biomedical NLP
benchmark (+3% absolute in BLURB score) and
MedQA-USMLE reasoning task (+7% absolute in
accuracy). Overall, LinkBERT attains notably large
gains for multi-hop reasoning, multi-document
understanding, and few-shot question answering,
suggesting that LinkBERT internalizes signiﬁcantly
more knowledge than existing LMs by pretraining
with document link information.
2 Related work
Retrieval-augmented LMs. Several works
(Lewis et al., 2020b;"," Karpukhin et al., 2020; Oguz
et al., 2020; Xie et al., 2022) introduce a retrieval
module for LMs, where given an anchor text
(e.g. question), retrieved text is added to the same
LM context to improve model inference (e.g. an-
swer prediction). These works show the promise of
placing related documents in the same LM context
at inference time, but they do not study the effect of
doing so in pretraining. Guu et al. (2020) pretrain
an LM with a retriever that learns to retrieve text for
answering masked tok"
"Oguz
et al.","arge
gains for multi-hop reasoning, multi-document
understanding, and few-shot question answering,
suggesting that LinkBERT internalizes signiﬁcantly
more knowledge than existing LMs by pretraining
with document link information.
2 Related work
Retrieval-augmented LMs. Several works
(Lewis et al., 2020b; Karpukhin et al., 2020; ","Oguz
et al., 2020; Xie et al., 2022) introduce a retrieval
module for LMs, where given an anchor text
(e.g. question), retrieved text is added to the same
LM context to improve model inference (e.g. an-
swer prediction). These works show the promise of
placing related documents in the same LM context
at inference time, but they "
 Xie et al.,"ti-hop reasoning, multi-document
understanding, and few-shot question answering,
suggesting that LinkBERT internalizes signiﬁcantly
more knowledge than existing LMs by pretraining
with document link information.
2 Related work
Retrieval-augmented LMs. Several works
(Lewis et al., 2020b; Karpukhin et al., 2020; Oguz
et al., 2020;"," Xie et al., 2022) introduce a retrieval
module for LMs, where given an anchor text
(e.g. question), retrieved text is added to the same
LM context to improve model inference (e.g. an-
swer prediction). These works show the promise of
placing related documents in the same LM context
at inference time, but they do not study the e"
Guu et al. (2020,"Related work
Retrieval-augmented LMs. Several works
(Lewis et al., 2020b; Karpukhin et al., 2020; Oguz
et al., 2020; Xie et al., 2022) introduce a retrieval
module for LMs, where given an anchor text
(e.g. question), retrieved text is added to the same
LM context to improve model inference (e.g. an-
swer prediction). These works show the promise of
placing related documents in the same LM context
at inference time, but they do not study the effect of
doing so in pretraining. ","Guu et al. (2020) pretrain
an LM with a retriever that learns to retrieve text for
answering masked tokens in the anchor text. In con-
trast, our focus is not on retrieval, but on pretraining
a general-purpose LM that internalizes knowledge
that spans across documents, which is orthogonal
to the above works (e.g., our pretrained LM could
be used to initialize the LM component of these
works). Additionally, we focus on incorporating
document links such as hyperlinks, which can"
Asai et al.," knowledge
that spans across documents, which is orthogonal
to the above works (e.g., our pretrained LM could
be used to initialize the LM component of these
works). Additionally, we focus on incorporating
document links such as hyperlinks, which can offer
salient knowledge that common lexical retrieval
methods may not provide (","Asai et al., 2020).
Pretrain LMs with related documents. Several
concurrent works use multiple related documentsto pretrain LMs. Caciularu et al. (2021) place doc-
uments (news articles) about the same topic into the
same LM context, and Levine et al. (2021) place sen-
tences of high lexical similarity into the same con-
text. O"
Caciularu et al. (2021," LM with a retriever that learns to retrieve text for
answering masked tokens in the anchor text. In con-
trast, our focus is not on retrieval, but on pretraining
a general-purpose LM that internalizes knowledge
that spans across documents, which is orthogonal
to the above works (e.g., our pretrained LM could
be used to initialize the LM component of these
works). Additionally, we focus on incorporating
document links such as hyperlinks, which can offer
salient knowledge that common lexical retrieval
methods may not provide (Asai et al., 2020).
Pretrain LMs with related documents. Several
concurrent works use multiple related documentsto pretrain LMs. ","Caciularu et al. (2021) place doc-
uments (news articles) about the same topic into the
same LM context, and Levine et al. (2021) place sen-
tences of high lexical similarity into the same con-
text. Our work provides a general method to incor-
porate document links into LM pretraining, where
lexical or topical similarity can be one instance of
document links, besides hyperlinks. We focus on hy-
perlinks in this work, because we ﬁnd they can bring
in salient knowledge that may not be obvious via
lexical similarity, and yield a more performant LM
(§5.5). Additionally, we propose the DRP objective,
which improves modeling multiple documents and
relations"
Levine et al. (2021,"es knowledge
that spans across documents, which is orthogonal
to the above works (e.g., our pretrained LM could
be used to initialize the LM component of these
works). Additionally, we focus on incorporating
document links such as hyperlinks, which can offer
salient knowledge that common lexical retrieval
methods may not provide (Asai et al., 2020).
Pretrain LMs with related documents. Several
concurrent works use multiple related documentsto pretrain LMs. Caciularu et al. (2021) place doc-
uments (news articles) about the same topic into the
same LM context, and ","Levine et al. (2021) place sen-
tences of high lexical similarity into the same con-
text. Our work provides a general method to incor-
porate document links into LM pretraining, where
lexical or topical similarity can be one instance of
document links, besides hyperlinks. We focus on hy-
perlinks in this work, because we ﬁnd they can bring
in salient knowledge that may not be obvious via
lexical similarity, and yield a more performant LM
(§5.5). Additionally, we propose the DRP objective,
which improves modeling multiple documents and
relations between them in LM"
Chang et al.,"we ﬁnd they can bring
in salient knowledge that may not be obvious via
lexical similarity, and yield a more performant LM
(§5.5). Additionally, we propose the DRP objective,
which improves modeling multiple documents and
relations between them in LMs (§5.5).
Hyperlinks and citation links for NLP. Hyper-
links are often used to learn better retrieval models.
","Chang et al. (2020); Asai et al. (2020); Seonwoo
et al. (2021) use Wikipedia hyperlinks to train
retrievers for open-domain question answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose"
 Asai et al. (2020,"o LM pretraining, where
lexical or topical similarity can be one instance of
document links, besides hyperlinks. We focus on hy-
perlinks in this work, because we ﬁnd they can bring
in salient knowledge that may not be obvious via
lexical similarity, and yield a more performant LM
(§5.5). Additionally, we propose the DRP objective,
which improves modeling multiple documents and
relations between them in LMs (§5.5).
Hyperlinks and citation links for NLP. Hyper-
links are often used to learn better retrieval models.
Chang et al. (2020);"," Asai et al. (2020); Seonwoo
et al. (2021) use Wikipedia hyperlinks to train
retrievers for open-domain question answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian an"
"Seonwoo
et al. (2021","hod to incor-
porate document links into LM pretraining, where
lexical or topical similarity can be one instance of
document links, besides hyperlinks. We focus on hy-
perlinks in this work, because we ﬁnd they can bring
in salient knowledge that may not be obvious via
lexical similarity, and yield a more performant LM
(§5.5). Additionally, we propose the DRP objective,
which improves modeling multiple documents and
relations between them in LMs (§5.5).
Hyperlinks and citation links for NLP. Hyper-
links are often used to learn better retrieval models.
Chang et al. (2020); Asai et al. (2020); ","Seonwoo
et al. (2021) use Wikipedia hyperlinks to train
retrievers for open-domain question answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 20"
Ma et al. (2021,"t be obvious via
lexical similarity, and yield a more performant LM
(§5.5). Additionally, we propose the DRP objective,
which improves modeling multiple documents and
relations between them in LMs (§5.5).
Hyperlinks and citation links for NLP. Hyper-
links are often used to learn better retrieval models.
Chang et al. (2020); Asai et al. (2020); Seonwoo
et al. (2021) use Wikipedia hyperlinks to train
retrievers for open-domain question answering.
","Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
20"
"Calixto et al.
(2021","ally, we propose the DRP objective,
which improves modeling multiple documents and
relations between them in LMs (§5.5).
Hyperlinks and citation links for NLP. Hyper-
links are often used to learn better retrieval models.
Chang et al. (2020); Asai et al. (2020); Seonwoo
et al. (2021) use Wikipedia hyperlinks to train
retrievers for open-domain question answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, ","Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM train"
Qazvinian and Radev,"ter retrieval models.
Chang et al. (2020); Asai et al. (2020); Seonwoo
et al. (2021) use Wikipedia hyperlinks to train
retrievers for open-domain question answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (","Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to joint"
Yasunaga et al.,"uestion answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; ","Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasu"
Bhagavatula et al.,"021) use Wikipedia hyperlinks to train
retrievers for open-domain question answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; ","Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and"
 Khadka et al.,"tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018;"," Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021)"
Cohan et al.,"s on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
","Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun"
Zhang et al.,"ers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. ","Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language m"
 He et al. (2020,"
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019);"," He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language model (LM) can be pretrained from a
corpus of documents, X=fX(i)g. An LM is a com-
position of two functions, fhead(fenc(X)), where
the encod"
Wang et al. (2021,"n multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
","Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language model (LM) can be pretrained from a
corpus of documents, X=fX(i)g. An LM is a com-
position of two functions, fhead(fenc(X)), where
the encoderfenctakes in a sequence of tokens X=
(x1;x2;:::"
Sun et al.," to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. ","Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language model (LM) can be pretrained from a
corp"
" Yasunaga et al.
(2021"," LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020);"," Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language model (LM) can be pretrained from a
corpus of documents, X=fX(i)g. An LM is a com-
position of two functions, fhead(fenc(X)), where
the encoderfenctakes in a sequence of tokens X=
(x1;x2;:::;x n)and produces a contextualized vector
representation for each token, (h1;h2;:::;hn). The
headfheaduses these representations to perform self-
supervised tasks in the pretraining step and to per-
form downstream tasks in the "
Zhang et al. (2022,"ion and recommendation of academic
papers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); ","Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language model (LM) can be pretrained from a
corpus of documents, X=fX(i)g. An LM is a com-
position of two functions, fhead(fenc(X)), where
the encoderfenctakes in a sequence of tokens X=
(x1;x2;:::;x n)and produces a contextualized vector
representation for each token, (h1;h2;:::;hn). The
headfheaduses these representations to p"
Devlin et al.,". LinkBERT is
especially effective for multi-hop reasoning and
few-shot QA (+5% absolute improvement on
HotpotQA and TriviaQA), and our biomedical
LinkBERT sets new states of the art on various
BioNLP tasks (+7% on BioASQ and USMLE).
We release our pretrained models, LinkBERT
andBioLinkBERT , as well as code and data.1
1 Introduction
Pretrained language models (LMs), like BERT and
GPTs (","Devlin et al., 2019; Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from"
